;;;;;;
2 Standaard;2 buitenpost zwart;1 buitenpost alu grijs;2 buitenpost zwart;3 buitenpost brons;;
;1 buitenpost alu grijs;2 buitenpost zwart;3 buitenpost brons;;;
;1 Duotecno;2 Standaard;3 Touch;;;
;;2;;;;
DT20-0DS;Buitenpost alu grijs voip/sip;0 st.;1.800 €;0 €;;
DT20-CDS;Buitenpost alu grijs voip/sip met codeklavier;0 st.;2.200 €;0 €;;
DT20-0DSb;Buitenpost zwart voip/sip;0 st.;1.800 €;0 €;;
DT20-CDSb;Buitenpost zwart voip/sip met codeklavier;0 st.;2.200 €;0 €;;
DT20-0DSBr;Buitenpost brons voip/sip;0 st.;2.200 €;0 €;;
DT20-CDSBr;Buitenpost brons voip/sip met codeklavier;0 st.;2.800 €;0 €;;
DT20-WB;Inbouwdoos voor buitenpost Duotecno design;0 st.;80 €;0 €;;
;;;;;;
DT20-AK1;Buitenpost zilver voip/sip opbouw;0 st.;600 €;0 €;;
DT20-WK1;Inbouwdoos zilver buitenpost alu DT20-AK1;0 st.;80 €;0 €;;
DT20-CK;Buitenpost zilver voip/sip opbouw met code;0 st.;750 €;0 €;;
DT20-WK5;Inbouwdoos zilver buitenpost DT20-CK;0 st.;80 €;0 €;;
DT20-AK1b;Buitenpost zwart voip/sip opbouw;0 st.;650 €;0 €;;
DT20-WK1b;Inbouwdoos zwart buitenpost DT20-AK1;0 st.;80 €;0 €;;
DT20-CKb;Buitenpost zwart voip/sip opbouw met code;0 st.;750 €;0 €;;
DT20-WKb;Inbouwdoos zwart buitenpost DT20-CKb;0 st.;80 €;0 €;;
;;;;;;
DT20-x;Buitenpost zwart voip/sip/android touchscreen opbouw;0 st.;1.900 €;0 €;;
DT20-Wx;Inbouwdoos zwart buitenpost DT20-x;0 st.;80 €;0 €;;
DT20-AK5;Buitenpost zilver  IP met 5 knoppen;0 st.;580 €;0 €;;
DT20-WK5;Inbouwdoos zilver buitenpost DT20-AK 2 3 4 5;0 st.;80 €;0 €;;
;;;;;;
DT20-TDS;Buitenpost voip/sip opbouw met scherm zilver (2 camera);0 st.;2.900 €;0 €;;
DT20-WTD;Inbouwdoos buitenpost DT20-TDS;0 st.;80 €;0 €;;
DT20-TDSb;Buitenpost voip/sip opbouw met scherm zwart (2 camera);0 st.;2.900 €;0 €;;
DT20-WTD;Inbouwdoos buitenpost DT20-TDS;0 st.;80 €;0 €;;
;;;;;;
DT20-CSA;Codeklavier alu grijs inbouw stand alone;0 st.;580 €;0 €;;
DT20-CSAb;Codeklavier zwart inbouw stand alone;0 st.;580 €;0 €;;
DT20-CSABr;Codeklavier brons inbouw stand alone;0 st.;750 €;0 €;;
DT21-Bw;Inbouwdoos stand alone;0 st.;80 €;0 €;;
;;;;;;
DT20-CIP;Codeklavier zwart opbouw op ip;0 st.;413 €;0 €;;
DT20-CSA;0;0 st.;0 €;0 €;;
DT21-Bw;Inbouwdoos halfinbouw codeklavier op ip;0 st.;80 €;0 €;;
